BRAND,SPECIFICATIONS,PRICES
Nokia ,"3.2, 6.26-Inch, 2GB RAM + 16GB ROM, Android 9.0 (Pie), 13 MP + 5 MP, Dual Nano SIM, 4000 MAh - Blue","₦ 32,330  ₦ 59,900  "
Gionee ,"S11 Lite 5.7-Inch HD (4GB,64GB ROM) Android 7.1 (13MP + 2MP) + 16MP Dual SIM 4G LTE Fingerprint ID Smartphone - Gold","₦ 35,800  ₦ 55,000  "
XIAOMI ,"Redmi Note 8 4GB+64GB 6.3"" 48MP Quad Camera Snapdragon 665 Octa Core Dual SIM 18WQC 4000mAh- Neptune Blue","₦ 69,990  ₦ 80,000  "
Samsung ,Galaxy S4 I9507V 4G Smartphone 5.0'' 2600mAh FHD 13MP+2MP 2GB+16GB Mobile Phone-White,"₦ 23,090  ₦ 85,000  "
Oukitel ,"C16 Pro 5.72"" 3GB 32GB 4G 8MP+2MP 2600mAh Fingerprint EU - Purple","₦ 26,830  ₦ 34,900  "
UMIDIGI ," A5 Pro FHD Fingerprint Smartphone 6.3"" Android 9.0 4GB+32GB - Space Grey","₦ 46,990  ₦ 92,160  "
Nokia ,"6.1 Plus (Nokia X6) 5.8"" (4GB RAM, 64GB ROM) Android 8.1,(16MP+5MP) + 16MP, 3060mAh, Hybrid Dual SIM 4G Smartphone-Black","₦ 58,110  ₦ 80,000  "
Nokia ,"5.1, 4G Smartphone 5.5""inch (3GB RAM 32GB ROM), 16MP+8MP Android 9 Pie 2970mAh Dual Sim - BLACK","₦ 32,399  ₦ 38,999  "
Gionee ,M7 Power ，6 Inch HD 5000mAh 4GB RAM 64GB ROM 13MP+8MP Hybrid Dual SIM Android 7.1 4G LTE Smartphone,"₦ 50,880  ₦ 121,540  "
Oukitel ,"C12 - 3G - 6.18"" (2GB RAM, 16GB ROM) - Dual SIM - Fingerprint Sensor - 3300mAh - Black","₦ 22,030  ₦ 43,600  "
